video,scene_idx,t_start,t_end,sentence,attributes,actions,interactions
Abuse002_x264,1,0.0,2.3,"The first car in the middle lane on the right was a silver van. After he drove out, after the rear wheel crossed the white solid line, a man wearing long sleeves fell from the trunk of the van. The undressed child fell to the ground.",silver van;long sleeves,driving;crossed the white solid line,man;child
Abuse002_x264,2,2.3,3.2,"The surrounding cars, bicycles, and electric vehicles are still moving forward, including the silver van, whose trunk is still open",silver van;trunk is still open,moving forward,cars;bicycles;electric vehicles
Abuse002_x264,3,2.3,3.3,"The fallen child got up from the ground, while the vehicle behind him was still approaching him.",,fallen;got up;approaching him,vehicle;ground
Abuse002_x264,4,3.5,4.2,"All vehicles continued to move forward. A silver car behind the silver van in the middle lane on the right was also moving forward. At the same time, it passed the child who was trying to get up from the ground. The child was crushed. Under the car.",silver,moving forward,child;car;ground
Abuse002_x264,5,4.6,5.5,Other vehicles continued to drive forward. The silver van in the middle lane on the right and the silver car behind suddenly braked.,silver;middle lane;right;behind,braking,other vehicles
Abuse002_x264,6,5.3,8.5,The right passenger door of the silver van in front opened first and a woman got out and ran towards the bottom of the car in front of the silver sedan behind.,silver van;right passenger door,opened first;a woman got out,woman;ran towards the bottom of the car
Abuse002_x264,7,7.3,9.3,"Immediately, a man got out of the driver's seat on the left and ran towards the bottom of the car in front of the silver sedan. The double side doors of the silver van were still open and he forgot to close them.",silver sedan;double side doors;left;right;front of the car,got out of the driver's seat;ran towards the bottom of the car,car;van;driver
Abuse002_x264,8,8.5,10.6,The woman made a gesture to ask the silver car to retreat.,female;red top,made a gesture to ask the silver car to retreat,silver car
Abuse002_x264,9,10.5,14.6,The silver car retreats.,silver,retreats,
Abuse002_x264,10,11.9,13.5,Most of the vehicles in the intersection continued to move forward. The man in front of the car leaned over and picked up the child under the car. The man held the child in his arms.,,picking up;holding child,car;child
Abuse002_x264,11,11.9,13.5,The light blue car behind the silver car wants to change lanes to bypass the silver car in front,light blue;silver,change lanes,silver car
Abuse002_x264,12,14.3,16.5, Other vehicles continued to drive forward. The sliding door on the right side of the silver van in the middle lane on the right opened. A woman wearing a hat walked towards the couple holding the child. The driver's seat on the left side of the silver van was car door closed,,,
Abuse002_x264,13,14.3,16.5,"The woman in the couple picks up the child's things from the ground, and the man in the couple stands holding the child",,,
Abuse002_x264,14,16.5,18.6,Most of the vehicles in the intersection continued to move forward. The sliding door on the right side of the silver van in the middle lane on the right opened and a woman holding a child walked towards the couple and a woman holding a child in front of the silver car behind;,silver,opened;moved forward,woman holding a child
Abuse002_x264,15,16.5,18.6,The driver's seat and passenger's seat doors of the silver car behind were opened.,silver car,opened,driver's seat;passenger's seat
Abuse002_x264,16,18.6,25.1,"Most of the vehicles in the intersection continued to move forward. A woman in a green top got out of the driver's seat of the silver car in the middle lane on the right, and a woman in a gray top got out of the passenger seat. They ran forward and checked. child,",green top;silver car;gray top,got out of the driver's seat;got out of the passenger seat,child
Abuse002_x264,17,18.6,25.1,A woman in a gray top got out of the passenger seat and ran forward to check on the child.,female;gray top,got out of the passenger seat;ran forward,child
Abuse002_x264,18,18.6,25.1,"The man held the child and walked towards the direction of the silver van, and the others followed",silver van,held the child;walked towards the direction of the silver van,others
Abuse002_x264,19,27.3,28.4,"Most of the vehicles in the intersection continued to move forward. The man in the couple held the child and walked towards the silver van in the middle lane on the right, and the woman in the couple walked towards the passenger seat.",silver,moving forward,child;man;woman
Abuse002_x264,20,27.3,28.4,The woman in a green top stood at the side of the silver car behind the silver van and looked at them,unknown;green top,stood at the side of;looked at them,silver car;silver van
Abuse002_x264,21,27.3,28.4,The woman wearing a red top holding a child walks in the direction of the woman in the couple.,female;red top,walking;holding a child,child
Abuse003_x264,0,0.0,23.1,"A woman in black short-sleeves pushed an old man in a wheelchair from one end of the corridor to the other. The old man was wearing a long-sleeved top, with a blanket covering his legs, and his head tilted toward his left shoulder. , keep one posture motionless",,,
Abuse003_x264,1,23.1,30.7,A woman in black short-sleeves pushed an old man in a wheelchair around the door at one end of the corridor and continued pushing back.,unknown;black short-sleeves,pushing;old man in a wheelchair,old man in a wheelchair
Abuse003_x264,2,30.7,31.9,A woman in black short-sleeves pushed an old man in a wheelchair to the left wall and released her hand pushing the wheelchair. The old man in the wheelchair bumped with the wheelchair. toward the wall.,,,
Abuse003_x264,3,31.8,32.7,The wheelchair carrying an old man slid forward along the left wall of the corridor,,,
Abuse003_x264,4,31.8,32.7,The woman in black clothes immediately stepped forward to hold the handle of the wheelchair.,unknown;black clothes,stepped forward;hold the handle of the wheelchair,wheelchair
Abuse003_x264,5,33.6,35.4,"The woman in black clothes pushed the old man in the wheelchair to the left wall of the corridor, then released her hands and raised them above her head, letting the wheelchair carrying the old man slide forward. .",unknown;black clothes,pushed;released her hands;raised them above her head,old man;wheelchair
Abuse003_x264,6,35.7,37.0,A woman in black clothes held the wheelchair carrying an old man forward and pushed it to the other end of the corridor.,unknown;black clothes,carrying;pushed,old man
Abuse003_x264,7,36.9,38.0,The wheelchair carrying the old man suddenly slid towards the wall on the right side of the corridor. The woman pushing him immediately held the wheelchair hard to prevent it from hitting the wall.,wheelchair;old man,slid;pushed,wall;corridor
Abuse003_x264,8,38.0,38.9,"The woman pushing the wheelchair released her hands, and the old man sat on the wheelchair and slid by himself.",unknown,pushing;released her hands,old man
Abuse003_x264,9,39.6,41.9,The woman walked forward behind the wheelchair. The old man slid forward in the wheelchair until the wheelchair hit the end of the corridor. The woman walked from the left side of the wheelchair to behind the wheelchair to support the wheelchair again. .,female;unknown,walked;slid forward,wheelchair;left side;behind wheelchair;support wheelchair
Abuse003_x264,10,42.0,46.7,The woman pushed the old man in the wheelchair around a corner at the end of the corridor and continued to push forward in the opposite direction.,unknown;old man,pushed;pushed in the wheelchair,old man
Abuse003_x264,11,50.0,61.5,"A woman in black short-sleeves pushed an old man in a wheelchair from one end of the corridor to the other. The old man was wearing a long-sleeved top, with a blanket covering his legs, and his head tilted toward his left shoulder , maintaining a posture motionless, the woman's face was expressionless during this process.",corridor;old man;blanket;long-sleeved top;head tilted toward left shoulder;woman's face expressionless,pushed,old man
Abuse003_x264,12,61.9,69.0,A woman wearing black short-sleeves pushed an old man in a wheelchair around the door at one end of the corridor and continued pushing back.,unknown;black short-sleeves,pushing;old man in wheelchair,old man in wheelchair
Abuse003_x264,13,69.0,70.5,"A woman in black short-sleeves pushed an old man in a wheelchair to the left wall and let go of the hand pushing the wheelchair. The old man in the wheelchair bumped with the wheelchair. towards the wall,",old man;black short-sleeves,bumped with the wheelchair;pushed the wheelchair,wheelchair;hand pushing the wheelchair
Abuse003_x264,14,69.0,70.5,The woman in black clothes immediately stepped forward to hold the handle of the wheelchair.,unknown;black clothes,stepped forward;hold the handle of the wheelchair,wheelchair
Abuse003_x264,15,70.5,72.3,"The woman in black short-sleeves pushed the old man in the wheelchair to the left wall again. The old man in the wheelchair hit the wall with the wheelchair, and his head shook with the collision. , after the collision, the woman held on to the wheelchair again.",,,
Abuse003_x264,16,72.8,74.7,"The woman pushed the old man in the wheelchair and turned left and right forward, sometimes letting go of her hand and walking to the right side of the wheelchair; the wheelchair slid forward, and she walked forward.",unknown;old man,pushed;turned left and right forward;sometimes letting go of her hand and walking to the right side of the wheelchair,old man;wheelchair;right side of the wheelchair
Abuse003_x264,17,75.4,77.0,"The woman walked on the right side of the wheelchair, looking at the old man in the wheelchair as she walked. The old man sat on the wheelchair with his head lowered and slid forward. The woman went around the back of the wheelchair to hold the wheelchair and push it.",female;red top,walking;looking at;sliding forward;going around the back of the wheelchair;holding the wheelchair;pushing the wheelchair,old man;child
Abuse003_x264,18,76.9,77.6,"The woman suddenly released her hands and raised them above her head, letting the old man in the wheelchair slide forward on his own.",unknown;old man,suddenly released her hands;raised them above her head,old man
Abuse003_x264,19,78.4,84.1,The woman pushed the old man in the wheelchair towards the end of the corridor.,unknown,pushed,old man
Abuse003_x264,20,84.5,89.4,The woman pushed the old man in the wheelchair around a corner at the end of the corridor and continued to push back.,unknown;old man,pushed;pushed back,old man
Abuse003_x264,21,91.1,95.2,"The woman suddenly pushed the old man in the wheelchair to speed up, and immediately let go after running. The woman stopped in place, and the old man slid forward with the wheelchair.",,,
Abuse003_x264,22,95.5,97.1,"The woman walked forward, and the old man in the wheelchair hit the left wall with his head lowered and stopped.",female;unknown,walked forward;hit the left wall with his head lowered and stopped,old man in the wheelchair
Abuse003_x264,23,97.1,99.5,"After the old man in the wheelchair hit the wall, the wheelchair immediately backed up and turned to face the woman behind the wheelchair. The woman opened her arms when the wheelchair turned towards her.",,,
Abuse003_x264,24,99.6,102.0,The wheelchair carrying the old man slid to the right wall and slid along the wall in the direction of the woman just now. The woman walked around the left side of the wheelchair while the wheelchair was sliding.,left side,sliding;sliding along,woman;old man
Abuse003_x264,25,102.8,107.2,"The woman went around behind the wheelchair, pushed the wheelchair and turned around, pushing the old man in the wheelchair forward.",,,
Abuse003_x264,26,107.5,113.2,"The woman pushed the old man in the wheelchair and continued to move forward, hitting the left side of the wall from time to time. The old man remained motionless.",old man,pushed;hit the left side of the wall,left side of the wall
Abuse003_x264,27,113.2,118.6,The woman pushed the old man in the wheelchair forward quickly,female;unknown,pushed;forward quickly,old man
Abuse004_x264,0,0.0,9.6,"Two bald policemen in black uniforms held the iron mesh gate and talked to a male prisoner sitting on a black chair. The male prisoner was wearing a blue shirt and gray-green trousers. , and a pair of black sneakers, during which the two police officers occasionally talked to each other.",iron mesh gate;black uniform;male prisoner;blue shirt;gray-green trousers;pair of black sneakers,held the iron mesh gate;talked to the male prisoner,male prisoner;police officers
Abuse004_x264,1,9.9,15.2,"A male prisoner wearing a blue shirt, gray-green trousers, and a pair of black sneakers stood up from the stool and faced the two men in black uniforms outside the iron mesh fence door. of police.",blue shirt;gray-green trousers;black sneakers,stood up;faced,two men in black uniforms;police
Abuse004_x264,2,16.6,17.8,"After two policemen in black uniforms looked at each other, one of the policemen in black uniforms took out a can of something, shook it a few times, and sprayed it on the man in a blue shirt and gray-green trousers. A male prisoner wearing pants and a pair of black sneakers,",black;can of something;shaking it a few times;spraying it on the man,took out a can of something;shook it a few times;sprayed it on the man,one of the policemen in black uniforms;the man in a blue shirt and gray-green trousers
Abuse004_x264,3,17.6,17.8,"The male prisoner swung his hands, immediately turned back and backed away, and turned around.",,swung his hands;turned back;backed away;turned around,prisoner
Abuse004_x264,4,17.6,19.2,"One of the two policemen in black uniforms put away the can of liquid in his hand, opened the iron mesh gate, and pushed it to one side.",black uniform,put away;opened;pushed to one side,can of liquid
Abuse004_x264,5,17.6,19.2,"The male prisoner, wearing a blue shirt, gray-green trousers, and a pair of black sneakers, stepped back and walked towards the corner. With no way to retreat, he turned a corner and faced the two police officers. direction.",blue shirt;gray-green trousers;black sneakers,stepped back;walked towards the corner,two police officers
Abuse004_x264,6,20.1,23.8,Two policemen in black uniforms were waiting for the door to open slowly at the door of the iron mesh fence.,black uniform,waiting for the door to open slowly,door
Abuse004_x264,7,20.1,23.8,The prisoner was standing and shaking with his hands raised in the corner.,,standing;shaking with hands raised,corner
Abuse004_x264,8,22.4,29.4,"Two policemen in black uniforms were at the door of the iron mesh fence. One of them put something in his hand into his pants, and then took out a stick from his pants and walked towards the prisoner opposite. , raised his stick and wanted to hit the prisoner, another policeman followed behind the first policeman.",black uniform;iron mesh fence,put something in hand;walks towards prisoner;raises stick;hits prisoner,prisoner
Abuse004_x264,9,29.1,30.3,"A bald policeman in uniform beat the prisoner hard with a stick. Another policeman walked towards them at the door, and the prisoner had no power to fight back.",bald policeman;uniform,beat the prisoner hard with a stick,prisoner
Abuse004_x264,10,30.4,31.8,"A bald policeman in uniform continued to beat the prisoner hard with a swing stick, and grabbed the prisoner's left hand with his left hand. During the beating, the prisoner walked around the chair and ran to the side of the stool.",bald policeman;uniform;beating;prisoner;hand;left hand;stool;side,beating;grabbing;walking;running,prisoner;chair;stool;side
Abuse004_x264,11,30.4,31.8,Another bald policeman behind him stepped forward and held down the prisoner.,bald policeman,stepped forward,prisoner
Abuse004_x264,12,31.4,33.0,"A bald policeman in uniform continued to beat the prisoner hard with a swing stick. The prisoner was forced to sit on a chair. Due to the fight, the chair overturned and the prisoner leaned back and used his left leg. He lifted up and kicked the policeman who beat him.",bald policeman;uniform;swing stick;prisoner;left leg;right leg;kicked,beating;beat;sitting on a chair;overturned;leaning back;used his left leg;lifted up;kicked the policeman,prisoner;policeman
Abuse004_x264,13,33.3,34.6,A bald policeman in uniform continued to beat the prisoner with a swing stick. The prisoner stood up from the chair and was forced to the corner. The policeman pursued him and continued to beat him; second A policeman came forward and wanted to beat the prisoner.,male;bald;uniform,beating with a swing stick,prisoner
Abuse004_x264,14,34.7,37.1,"A bald policeman in uniform continued to beat the prisoner with a stick, hitting him one at a time without stopping.",,beating,prisoner
Abuse004_x264,15,34.7,37.1,"The other policeman also slowly walked towards the opposite side of the prisoner; the policeman who had been beating the prisoner moved a little to the left, and the two formed an encirclement around the prisoner, blocking him in the corner.",,,
Abuse004_x264,16,37.5,41.6,"Two policemen in black uniforms surrounded the prisoner and beat him. One hit him hard with a stick, and the other punched him.",prisoner,beaten,prisoner
Abuse004_x264,17,41.6,42.8,The bald policeman in black uniform on the left picked up something from the ground and continued to beat the prisoner.,bald policeman;black uniform,picking up something from the ground;beating the prisoner,prisoner
Abuse004_x264,18,42.6,44.7,"Two policemen in black uniforms surrounded the prisoner in the corner and beat him. One kept beating him with a stick, and the other kicked him and stopped.",,,
Abuse004_x264,19,44.9,49.2,A bald policeman in uniform continued to beat the prisoner with a swing stick,bald policeman;uniform,beating the prisoner,prisoner
Abuse004_x264,20,44.9,49.2,"The other policeman watched silently retreating, sometimes stepping forward, sometimes retreating, and then walked out, while the policeman who beat the prisoner with a stick continued.",,,
Abuse004_x264,21,48.0,52.6,A bald policeman wearing a black uniform went out and looked around before walking back.,bald;black uniform,went out;looked around;walked back,unknown
Abuse004_x264,22,50.0,57.9,A bald policeman wearing a black uniform came back and kicked the prisoner.,prisoner,kicked,prisoner
Abuse004_x264,23,57.9,61.5,A bald policeman wearing a black uniform looked in the direction of the prisoner who was being beaten. Another policeman who had been beating the prisoner with a stick continued.,prisoner,being beaten,prisoner;policeman_1;policeman_2
Abuse004_x264,24,61.5,66.0,A bald policeman wearing a black uniform continued to beat the prisoner with a stick.,unknown,beating,prisoner
Abuse004_x264,25,66.0,79.0,"Two bald policemen wearing black uniforms looked in the direction of the prisoner, shaking their bodies from side to side. One of the policemen stepped forward to see the prisoner's condition.",prisoner,shaking their bodies from side to side,prisoner
Abuse004_x264,26,67.3,83.3,A bald policeman in black uniform walked towards the door with a stick in his hand and walked to the door.,bald policeman;black uniform,walked towards the door,door
Abuse004_x264,27,83.5,88.7,A bald policeman in black uniform holding a stick in his hand turned around and came back from the door and walked to the prisoner.,bald policeman;black uniform,turned around;came back from the door,prisoner
Abuse004_x264,28,88.7,90.5,A bald policeman in black uniform changed his hand and held a stick.,black uniform,changed his hand,stick
Abuse004_x264,29,90.9,158.2,Two bald policemen in black uniforms surrounded the prisoner in the corner and beat him,bald policeman;black uniform,surrounded;beating,prisoner
Abuse004_x264,30,158.4,170.2,"The prisoner’s legs were placed sideways on the ground. The trouser leg of his right leg became a little higher, exposing his socks. A uniformed policeman held him down.",uniformed policeman,held him down,prisoner
Abuse004_x264,31,159.4,168.2,"Another bald policeman in black uniform walked to the door and looked around, then came back and watched the prisoner being beaten.",bald policeman;black uniform,walked to the door;looked around;came back and watched the prisoner being beaten,prisoner
Abuse004_x264,32,170.5,174.4,The bald policeman in black uniform stood for a while and came forward.,black uniform,stood for a while;came forward,policeman
Abuse004_x264,33,174.5,178.8,The bald policeman in black uniform touched the wall on one side with his left hand and then touched the shoulder of another policeman with his right hand. The other policeman stopped and looked at him.,bald;black uniform,touched the wall;touched the shoulder,policeman 1
Abuse004_x264,34,178.8,185.7,"A policeman got off the prisoner, put away his stick, and walked out the door. He looked at his hands in the process, and finally walked out to the right.",prisoner;stick,got off;put away;walked out the door,prisoner;stick
Abuse004_x264,35,186.0,193.1,"The prisoner's legs remained straight, and the bald policeman in black uniform watched him motionless.",bald policeman;black uniform,watched him motionless,prisoner
Abuse004_x264,36,193.2,196.2,A bald policeman in black uniform came back from the door with a stick in his hand and walked towards the lying prisoner.,black uniform,came back from the door;walked towards the lying prisoner,prisoner
Abuse004_x264,37,196.5,209.7,"Two bald policemen in black uniforms looked at the lying prisoner, pacing left and right without making any other movements.",black uniform,pacing,prisoner
Abuse004_x264,38,209.9,222.0,The bald policeman in black uniform with a stick in his hand turned around from the door and returned to his original position.,bald;black uniform,turned around;returned to original position,door
Abuse004_x264,39,225.5,230.8,"The policeman leaning against the wall turned around and spoke to another policeman holding a stick behind him, while making gestures with his right hand.",,turned around;spoke to another policeman holding a stick behind him;making gestures with his right hand,another policeman;policeman;stick
Abuse004_x264,40,229.5,231.8,"The policeman holding the stick changed the stick to his left hand, raised the back of his right hand to check, put it down, and then walked out the door.",stick,changed the stick to his left hand;raised the back of his right hand to check;put it down;walked out the door,door
Abuse004_x264,41,231.8,436.4,"A policeman kept talking to the prisoner, and the prisoner moved his legs and feet from time to time.",,talking;moving;moving from time to time,prisoner
Abuse004_x264,42,437.4,447.0,"A bald policeman in black uniform walked out the door, glanced to the right, and then returned",black uniform,walked out the door;glanced to the right;returned,door;right;returning
Abuse004_x264,43,445.4,447.0,Another bald policeman entered the room with him,unknown,entered the room,policeman
Abuse004_x264,44,447.0,452.6,Two bald policemen in black uniforms walked towards the prisoner,black uniform,walked,prisoner
Abuse004_x264,45,452.5,457.0,A bald policeman in black uniform stood on the side of the prisoner while gesticulating and talking.,bald policeman;black uniform,stood on the side of the prisoner;gesticulating;talking,prisoner
Abuse004_x264,46,450.5,459.0,The other policeman walked towards the door and looked to the right after walking out of the door.,unknown,walked;looked to the right,door
Abuse004_x264,47,458.0,473.0,"The bald policeman in black uniform spoke to the prisoner, put his hands on his hips, patted his shirt with his hands, and took out his mobile phone to look at it.",bald policeman;black uniform,spoke to the prisoner;put his hands on his hips;patted his shirt with his hands;took out his mobile phone to look at it,prisoner
Abuse004_x264,48,473.2,480.0,"After the bald policeman in black uniform made a call with his mobile phone, he put the mobile phone to his ear and walked out. He and another policeman looked to the right at the door, and then Return inside.",unknown;black uniform,made a call;put the mobile phone to his ear;walked out,another policeman;door;right
Abuse004_x264,49,480.3,492.3,The policeman who spoke to the prisoner took out his mobile phone to make a call and walked back and forth in the room twice.,,walked back and forth,prisoner
Abuse004_x264,50,488.3,492.3,Another policeman outside the door walked to the prisoner.,,walked,prisoner
Abuse004_x264,51,494.1,499.4,The bald policeman in black uniform walked into the house and walked out while talking on the phone.,bald;black uniform,walked into the house;walked out,talked on the phone
Abuse004_x264,52,500.3,501.2,The bald policeman in black uniform next to the prisoner kicked the prisoner.,black uniform;prisoner,kicked,prisoner
Abuse004_x264,53,502.4,504.3,"The bald policeman in black uniform who was on the phone rushed in and kicked the prisoner hard, while keeping his right hand in a talking position.",bald policeman;black uniform,rushed in;kicked the prisoner hard,prisoner
Abuse004_x264,54,505.2,509.8,"The policeman on the phone pointed at the prisoner with his left hand, then raised his leg to kick the prisoner, but immediately put it down.",prisoner,kicking;pointed at,prisoner
Abuse004_x264,55,510.0,519.2,The policeman who made the call walked out of the door and walked around before entering the house.,,walked;walked around;entered the house,policeman;door;house
Abuse004_x264,56,518.3,530.2,"The policeman who made the call walked around the door again and walked outside. While talking on the phone, he walked behind the other policeman in the house, walked around again and walked out of the house.",phone,walked around the door;walked outside;walked behind the other policeman;walked around again;walked out of the house,other policeman;policeman;house
Abuse004_x264,57,530.3,533.2,Then another policeman followed out.,,,
Abuse004_x264,58,536.2,538.8,"Two policemen came out at the door and faced the direction of the prisoner. The policeman who was holding a mobile phone and talking went around from behind the other policeman to the front of him, walked into the room, left hand on his hip.",mobile phone,walked into the room;left hand on his hip,prisoner
Abuse004_x264,59,540.0,542.5,The man behind the policeman standing on the phone stands with his hands on his hips.,,stands with his hands on his hips,policeman
Abuse004_x264,60,542.5,547.4,"The two policemen walked to the prisoner again, and then the policeman who was talking hung up the phone and took the phone from his ears to the position in front of his stomach.",,walked to the prisoner;hung up the phone;took the phone from his ears to the position in front of his stomach,prisoner;policeman;phone
Abuse004_x264,61,549.3,552.5,"Two policemen stood beside the prisoner, one with his hands on his hips in a lecturing posture, and the other with his arms crossed after hanging up the phone.",prisoner,hanging up the phone,phone
Abuse004_x264,62,552.5,555.3,The policeman with his arms crossed lowered his arms and drooped naturally.,policeman,lowered his arms and drooped naturally,unknown
Abuse004_x264,63,555.3,559.8,The policeman with his arms on both sides of his pants took out a bottle of white stuff from his right pocket and shook it.,policeman;arms on both sides of his pants;bottle of white stuff;right pocket,took out a bottle of white stuff;shook it,policeman
Abuse005_x264,0,0.0,3.3,"The prison guard wearing black trousers and gray short-sleeved uniforms sitting next to the wall suddenly stood up and walked into the room opposite the white table, and knocked his white table against the side of the door, diagonally leave;",prison guard;black trousers;gray short-sleeved uniforms,sitting next to the wall;standing up;walked into the room opposite the white table,knocked his white table against the side of the door;diagonally left
Abuse005_x264,1,0.0,3.3,"A prison guard wearing black trousers, gray short-sleeved uniform and hat sat in front of a white table and looked at him, stood up",prison guard;black trousers;gray short-sleeved uniform;hat,sitting;looking at him;standing up,him
Abuse005_x264,2,0.0,3.3," Another fat prison guard wearing black trousers and gray short-sleeved uniform looked towards the direction he entered the room, and walked forward while looking.",black trousers;gray short-sleeved uniform,walked forward,prison guard
Abuse005_x264,3,3.5,7.5,The prison guard who entered the small room came out and put his left hand into the left pocket of his pants.,unknown,entered;came out,prison guard;left hand;left pocket;pants
Abuse005_x264,4,3.5,7.5,The fat prison guard walked towards him,fat,walked,him
Abuse005_x264,5,7.7,9.4,The prison guard who came out of the room walked to a white chair and kicked the chair with his right foot. The chair was kicked diagonally opposite the table.,white chair;kicked diagonally opposite the table,walked;kicked the chair,table
Abuse005_x264,6,9.6,11.3,The prison guard who was close to the door of the hut raised the table in front of him to his side and opened the wrong door of the hut.,,raised;opened the wrong door,hut
Abuse005_x264,7,11.5,13.9,The prison guard at the table at the door of the hut walks towards the hut,,walks,hut
Abuse005_x264,8,11.5,13.9,"The fat prison guard stepped forward and grabbed him, preventing him from entering.",fat;prison guard,stepped forward;grabbed him,him
Abuse005_x264,9,14.2,18.8,The prison guard was dragged to the white table on the wall. He pulled the chair and sat down. The fat prison guard walked to the side of the table.,white table,dragged;pulled;sitting down,prison guard;chair;side of the table
Abuse005_x264,10,22.6,23.7,A man with a white plastic bag on his head was pinned down on the table by three prison guards.,white plastic bag,pinned down,prison guards
Abuse005_x264,11,23.9,30.4,"Another prison guard appeared from one side of the table. He stepped on the table, walked towards the person whose head was pressed, and then stepped on the back of his neck, applying force and keeping still. The other prison guards Watch and stay still.",prison guard;neck;head;force;still,stepped on;walked;applied force;kept still,Watch;stay still
Abuse006_x264,0,3.0,7.6,A police car drove into a grassy field,grass;field,driving,unknown
Abuse006_x264,1,3.0,7.6,A man wearing a black cotton top and black pants also entered the grassland beside the police car.,male;black cotton top;black pants,entered the grassland beside the police car,police car
Abuse006_x264,2,7.0,11.2,"The police car stopped, and two police officers got out of the driver's seat and the passenger's seat respectively. The policeman who got off the driver's seat pushed the man in black cotton clothes down, and the policeman who got out of the passenger's seat also Run towards them.",unknown;black cotton clothes,push;run,man in black cotton clothes
Abuse006_x264,3,11.5,13.1,"A man wearing a black cotton top and black pants was pushed to the ground, his legs were raised, and a policeman pressed down on his back",black cotton top;black pants,pushed to the ground;pressed down on his back,policeman
Abuse006_x264,4,13.1,13.5,Another policeman also approached them from the right.,unknown,approached,policeman
Abuse006_x264,5,13.8,16.5,"A man walked past the police car, approached the grass, and looked back.",,walked past;approached the grass;looked back,police car;grass
Abuse006_x264,6,15.5,17.8,Another policeman quickly rushed to the prisoner surrounded by three policemen and raised his leg to step on him.,prisoner,rushed;raised his leg to step on him,prisoner;prisoners
Abuse006_x264,7,16.9,18.2,"A policeman walked around the man's head from the right side of his legs and finally squatted down on the side of the man's head on the ground, reaching out to test his breath.",policeman;unknown;head;legs;side of head;squatted down;breath,walked;around the man's head;reaching out to test his breath,man
Abuse006_x264,8,19.2,21.2,Another policeman came over. Now there were five policemen surrounding a man on the ground. One of the policemen turned around.,male;unknown,turned around,man
Abuse006_x264,9,22.2,24.0,"The men on the left and right sides of the man's head on the ground squatted down close to his head, and the other three police officers stood on both sides of the man on the ground and looked at each other.",squatted down;close to his head;police officers;left;right;squatting down;three;on the ground;looked at each other,squatted down;squatting down,police officers
Abuse006_x264,10,24.1,30.8,"Three policemen suppressed the man in black cotton clothes lying on the ground, while the other two stood aside.",black cotton clothes,lying on the ground,man in black cotton clothes
Abuse006_x264,11,30.8,34.5,"A policeman walked in the opposite direction, turned a corner and came back",unknown,walked;turned a corner,policeman
Abuse006_x264,12,35.0,39.9," Another policeman joined the three policemen in beating the people on the ground. Four people punched and kicked them, while a policeman looked on.",policeman;beating people on the ground,punched and kicked,four people punched and kicked them;policeman looked on
Abuse006_x264,13,40.0,42.9,"One policeman stood up and walked back, and another policeman joined in the beating.",unknown,stood up;walked back,beating
Abuse006_x264,14,43.0,50.1,A policeman stood up and circled around the three policemen who were beating the people on the ground. He walked to the side of the heads on the ground and squatted down to look.,,,
Abuse006_x264,15,50.9,62.7,Four policemen surrounded the people on the ground and continued to beat them.,,beating,people
